crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 10 | tco_bt_hlv_c_nm: 식생활 | tco_bt_mcls_c_nm: 음식/요리 | tco_btc_nm: 중식 | sl_am: 106000 | sl_ct: 4
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 식생활 | tco_bt_mcls_c_nm: 음식/요리 | tco_btc_nm: 양식 | sl_am: 95403000 | sl_ct: 2717
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 식생활 | tco_bt_mcls_c_nm: 음식/요리 | tco_btc_nm: 양식 | sl_am: 1228000 | sl_ct: 33
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 식생활 | tco_bt_mcls_c_nm: 식품 | tco_btc_nm: 기타음료식품 | sl_am: 149312000 | sl_ct: 10458
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 유통 | tco_bt_mcls_c_nm: 전자상거래 | tco_btc_nm: 다단계 | sl_am: 28263000 | sl_ct: 258
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 레져업소 | tco_btc_nm: 볼링장 | sl_am: 5648000 | sl_ct: 177
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 20 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 종합교육관련상품 | tco_btc_nm: 사무용품(전산소모품) | sl_am: 331000 | sl_ct: 58
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 70 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 학원 | tco_btc_nm: 기타학원 | sl_am: 36943000 | sl_ct: 113
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 30 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 학원 | tco_btc_nm: 기타학원 | sl_am: 497587000 | sl_ct: 2750
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 서비스 | tco_btc_nm: 출판업 | sl_am: 4019000 | sl_ct: 34
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 교육/교양/서비스 | tco_bt_mcls_c_nm: 서비스 | tco_btc_nm: 보안/경비서비스 | sl_am: 61000 | sl_ct: 6
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 60 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 의료기관 | tco_btc_nm: 안과 | sl_am: 61091000 | sl_ct: 1047
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 60 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 제약 | tco_btc_nm: 약국 | sl_am: 755060000 | sl_ct: 35374
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 10 | tco_bt_hlv_c_nm: 의료/보험/위생 | tco_bt_mcls_c_nm: 보건위생 | tco_btc_nm: 미용실 | sl_am: 239000 | sl_ct: 6
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 40 | tco_bt_hlv_c_nm: 의생활 | tco_bt_mcls_c_nm: 의류 | tco_btc_nm: 내의/Y셔츠판매 | sl_am: 22943000 | sl_ct: 559
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 60 | tco_bt_hlv_c_nm: 주생활 | tco_bt_mcls_c_nm: 컴퓨터/통신 | tco_btc_nm: 소프트웨어개발(정보서비스) | sl_am: 44109000 | sl_ct: 1665
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 주생활 | tco_bt_mcls_c_nm: 생활용품 | tco_btc_nm: 가정생활용품 | sl_am: 1853000 | sl_ct: 77
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 1 | agegrp_dc: 80 | tco_bt_hlv_c_nm: 주생활 | tco_bt_mcls_c_nm: 생활용품 | tco_btc_nm: 패브릭(침구류/커튼) | sl_am: 387000 | sl_ct: 10
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 50 | tco_bt_hlv_c_nm: 주생활 | tco_bt_mcls_c_nm: 생활용품 | tco_btc_nm: 패브릭(침구류/커튼) | sl_am: 43518000 | sl_ct: 262
crym: 202304 | ana_mgpo_nm: 부산광역시 | ma_fem_dc: 2 | agegrp_dc: 40 | tco_bt_hlv_c_nm: 식생활 | tco_bt_mcls_c_nm: 식품 | tco_btc_nm: 기타음료식품 | sl_am: 300714000 | sl_ct: 26897
